time_d,temperature_c,relative_humidity_pct
9.796201945345045,46.90549,45.99533
9.837887911069917,47.51473,45.91927
9.879573876794788,48.12397,45.84322
9.92125984251966,48.73321,45.76716
9.962945808244532,49.34245,45.69111
10.004631773969404,49.73422,45.73611
10.046317739694276,48.38622,46.74965
10.088003705419148,47.03822,47.76318
10.12968967114402,45.69023,48.77671
10.171375636868891,44.34223,49.79024
10.213061602593763,42.99423,50.80377
10.254747568318635,41.64623,51.81731
10.296433534043507,40.29823,52.83084
10.338119499768379,38.95023,53.84437
10.37980546549325,37.60223,54.8579
10.421491431218122,36.25423,55.87143
10.463177396942994,34.90623,56.88496
10.504863362667866,33.55823,57.8985
10.546549328392738,32.21023,58.91203
10.58823529411761,30.86224,59.92556
10.629921259842481,29.51424,60.93909
10.671607225567353,28.16624,61.95262
10.713293191292225,26.81824,62.96615
10.754979157017097,25.47024,63.97969
10.796665122741969,24.12224,64.99322
10.83835108846684,22.77424,66.00675
10.880037054191712,21.42624,67.02028
10.921723019916584,20.07824,68.03381
10.963408985641456,18.73024,69.04734
11.005094951366328,17.54224,69.9269
11.0467809170912,17.50326,69.84426
11.088466882816071,17.46428,69.76161
11.130152848540943,17.42531,69.67897
11.171838814265815,17.38633,69.59633
11.213524779990687,17.34735,69.51369
11.255210745715559,17.30838,69.43104
11.29689671144043,17.2694,69.3484
11.338582677165302,17.23043,69.26576
11.380268642890174,17.19145,69.18312
11.421954608615046,17.15247,69.10047
11.463640574339918,17.1135,69.01783
11.50532654006479,17.07452,68.93519
11.547012505789661,17.03554,68.85255
11.588698471514533,16.99657,68.76991
11.630384437239405,16.95759,68.68726
11.672070402964277,16.91861,68.60462
11.713756368689149,16.87964,68.52198
11.75544233441402,16.84066,68.43934
11.797128300138892,16.80169,68.35669
11.838814265863764,16.76271,68.27405
11.880500231588636,16.72373,68.19141
11.922186197313508,16.68476,68.10877
11.96387216303838,16.64578,68.02612
12.005558128763251,16.60784,67.9683
12.047244094488123,16.57666,68.07178
12.088930060212995,16.54548,68.17527
12.130616025937867,16.5143,68.27875
12.172301991662739,16.48312,68.38224
12.21398795738761,16.45194,68.48573
12.255673923112482,16.42076,68.58921
